Branche,Shop_ID,Snaphot_Date
CE,324642,2021-12-09
CE,324668,2021-12-09
CE,324702,2021-12-09
CE,324728,2022-03-02
CE,324891,2022-03-02
CE,324983,2022-03-02
CE,325033,2022-03-02
CE,325114,2022-03-02
CE,325428,2022-03-02
CE,325632,2022-04-07
CE,325906,2022-06-20
CE,325953,2022-06-20
CE,325992,2022-06-20
CE,326069,2022-06-20
CE,326109,2022-06-20
CE,326141,2022-06-20
CE,326172,2022-06-20
CE,326275,2022-06-20
CE,326310,2022-06-20
CPG,183952,2021-12-09
CPG,20108,2022-03-02
CPG,23174,2022-06-20
CPG,26590,2021-12-09
CPG,279080,2022-04-07
CPG,279576,2022-03-02
CPG,283520,2022-03-02
CPG,284806,2021-12-09
CPG,285271,2021-12-09
CPG,285310,2022-03-02
CPG,285707,2022-06-20
CPG,290519,2021-12-09
CPG,293114,2022-06-20
CPG,294234,2021-12-09
CPG,294612,2021-12-09
CPG,296344,2022-03-02
CPG,296804,2022-03-02
CPG,297751,2022-03-02
CPG,299897,2022-03-02
CPG,309650,2022-03-02
CPG,310536,2021-12-09
CPG,313547,2021-12-09
CPG,313557,2022-06-20
CPG,314487,2022-06-20
CPG,314754,2022-03-02
CPG,315563,2022-04-07
CPG,315729,2022-06-20
CPG,315907,2021-12-09
CPG,316269,2022-06-20
CPG,316303,2021-12-09
CPG,316813,2021-12-09
CPG,317086,2022-06-20
CPG,317496,2022-04-07
CPG,317544,2022-03-02
CPG,317941,2022-03-02
CPG,318001,2021-12-09
CPG,318449,2021-12-09
CPG,318467,2022-06-20
CPG,318558,2022-03-02
CPG,318698,2022-03-02
CPG,319381,2021-12-09
CPG,319389,2021-12-09
CPG,319444,2022-03-02
CPG,320187,2021-12-09
CPG,320325,2022-03-02
CPG,320670,2021-12-09
CPG,320737,2022-03-02
CPG,320932,2022-06-20
CPG,321212,2021-12-09
CPG,321278,2021-12-09
CPG,321340,2022-03-02
CPG,321440,2022-04-07
CPG,321693,2022-03-02
CPG,321926,2021-12-09
CPG,322052,2021-12-09
CPG,322193,2022-03-02
CPG,322263,2021-12-09
CPG,322308,2022-06-20
CPG,322353,2022-06-20
CPG,322378,2022-03-02
CPG,322438,2021-12-09
CPG,322463,2022-04-07
CPG,322566,2021-12-09
CPG,323052,2021-12-09
CPG,323721,2022-03-02
CPG,323842,2022-03-02
CPG,323936,2021-12-09
CPG,324149,2021-12-09
CPG,324183,2021-12-09
CPG,324230,2022-06-20
CPG,324310,2021-12-09
CPG,324429,2022-03-02
CPG,324436,2022-03-02
CPG,324488,2021-12-09
CPG,324498,2021-12-09
CPG,324501,2021-12-09
CPG,324511,2022-04-07
CPG,324583,2021-12-09
CPG,324622,2021-12-09
CPG,324680,2021-12-09
CPG,324704,2022-03-02
CPG,324733,2022-03-02
CPG,324758,2022-03-02
CPG,324824,2022-03-02
CPG,324848,2022-03-02
CPG,324864,2022-03-02
CPG,324951,2022-04-07
CPG,324955,2022-03-02
CPG,324988,2022-03-02
CPG,325091,2022-03-02
CPG,325184,2022-03-02
CPG,325186,2022-03-02
CPG,325190,2022-03-02
CPG,325202,2022-03-02
CPG,325248,2022-03-02
CPG,325449,2022-03-02
CPG,325587,2022-04-07
CPG,325592,2022-04-07
CPG,325596,2022-04-07
CPG,325692,2022-06-20
CPG,325744,2022-04-07
CPG,325757,2022-04-07
CPG,325761,2022-06-20
CPG,325809,2022-06-20
CPG,325861,2022-06-20
CPG,325997,2022-06-20
CPG,326001,2022-06-20
CPG,326002,2022-06-20
CPG,326004,2022-06-20
CPG,326036,2022-06-20
CPG,326043,2022-06-20
CPG,326132,2022-06-20
CPG,326180,2022-06-20
CPG,326228,2022-06-20
CPG,326230,2022-06-20
CPG,326342,2022-06-20
Lifestyle,148198,2022-06-20
Lifestyle,206826,2021-12-09
Lifestyle,221751,2022-03-02
Lifestyle,23956,2022-03-02
Lifestyle,24115,2022-06-20
Lifestyle,24473,2022-03-02
Lifestyle,272561,2021-12-09
Lifestyle,279576,2021-12-09
Lifestyle,280068,2022-06-20
Lifestyle,284561,2021-12-09
Lifestyle,287533,2022-03-02
Lifestyle,296590,2021-12-09
Lifestyle,297313,2021-12-09
Lifestyle,300022,2022-03-02
Lifestyle,300310,2022-06-20
Lifestyle,300731,2022-03-02
Lifestyle,308195,2022-03-02
Lifestyle,308632,2022-04-07
Lifestyle,308705,2022-04-07
Lifestyle,312360,2022-03-02
Lifestyle,313336,2022-06-20
Lifestyle,314692,2021-12-09
Lifestyle,315056,2021-12-09
Lifestyle,316144,2022-03-02
Lifestyle,316384,2022-06-20
Lifestyle,316957,2022-06-20
Lifestyle,317593,2022-03-02
Lifestyle,318313,2022-03-02
Lifestyle,318326,2021-12-09
Lifestyle,318426,2022-04-07
Lifestyle,320176,2021-12-09
Lifestyle,320462,2022-03-02
Lifestyle,320597,2022-04-07
Lifestyle,320777,2022-04-07
Lifestyle,321074,2021-12-09
Lifestyle,321509,2021-12-09
Lifestyle,321552,2022-06-20
Lifestyle,321633,2022-04-07
Lifestyle,321773,2021-12-09
Lifestyle,321773,2022-04-07
Lifestyle,322384,2022-03-02
Lifestyle,323004,2022-03-02
Lifestyle,323117,2021-12-09
Lifestyle,323810,2021-12-09
Lifestyle,323896,2022-06-20
Lifestyle,324199,2021-12-09
Lifestyle,324228,2021-12-09
Lifestyle,324229,2021-12-09
Lifestyle,324350,2022-06-20
Lifestyle,324361,2021-12-09
Lifestyle,324431,2021-12-09
Lifestyle,324496,2022-06-20
Lifestyle,324550,2021-12-09
Lifestyle,324605,2022-03-02
Lifestyle,324617,2021-12-09
Lifestyle,324779,2021-12-09
Lifestyle,324800,2021-12-09
Lifestyle,324862,2022-03-02
Lifestyle,324942,2022-03-02
Lifestyle,325086,2022-03-02
Lifestyle,325106,2022-06-20
Lifestyle,325195,2022-03-02
Lifestyle,325214,2022-03-02
Lifestyle,325219,2022-03-02
Lifestyle,325223,2022-03-02
Lifestyle,325379,2022-04-07
Lifestyle,325435,2022-03-02
Lifestyle,325490,2022-06-20
Lifestyle,325515,2022-03-02
Lifestyle,325681,2022-06-20
Lifestyle,325705,2022-04-07
Lifestyle,325762,2022-06-20
Lifestyle,325859,2022-06-20
Lifestyle,325902,2022-06-20
Lifestyle,325905,2022-06-20
Lifestyle,325923,2022-06-20
Lifestyle,325961,2022-06-20
Lifestyle,326022,2022-06-20
Lifestyle,326165,2022-06-20
Lifestyle,326183,2022-06-20
Living,183935,2022-03-02
Living,183952,2022-06-20
Living,20383,2022-03-02
Living,21669,2022-03-02
Living,23174,2022-03-02
Living,24473,2022-04-07
Living,27920,2022-06-20
Living,282192,2021-12-09
Living,283520,2021-12-09
Living,283520,2022-06-20
Living,285192,2021-12-09
Living,286338,2022-03-02
Living,287032,2022-06-20
Living,287185,2022-03-02
Living,287905,2022-03-02
Living,288061,2022-04-07
Living,288223,2022-04-07
Living,291501,2022-06-20
Living,293156,2021-12-09
Living,293718,2021-12-09
Living,293952,2022-03-02
Living,298359,2022-03-02
Living,298359,2022-06-20
Living,299271,2022-06-20
Living,299302,2022-03-02
Living,299577,2022-03-02
Living,300085,2022-04-07
Living,301938,2022-03-02
Living,302267,2021-12-09
Living,304182,2022-06-20
Living,304519,2021-12-09
Living,304519,2022-03-02
Living,304721,2022-04-07
Living,307259,2021-12-09
Living,308175,2021-12-09
Living,308288,2021-12-09
Living,308472,2021-12-09
Living,308705,2022-06-20
Living,308731,2022-03-02
Living,30990,2021-12-09
Living,311044,2022-03-02
Living,312781,2022-03-02
Living,312917,2021-12-09
Living,313093,2022-03-02
Living,313249,2022-03-02
Living,313547,2022-03-02
Living,313926,2021-12-09
Living,313960,2022-03-02
Living,314097,2022-03-02
Living,315056,2022-04-07
Living,315348,2021-12-09
Living,316039,2022-03-02
Living,316059,2022-03-02
Living,316474,2021-12-09
Living,316515,2021-12-09
Living,317020,2022-03-02
Living,317120,2022-03-02
Living,317432,2022-06-20
Living,317523,2022-06-20
Living,317545,2022-03-02
Living,317941,2021-12-09
Living,318142,2022-03-02
Living,318498,2022-03-02
Living,318785,2022-06-20
Living,319338,2022-03-02
Living,319389,2022-03-02
Living,319444,2022-04-07
Living,319453,2022-03-02
Living,319463,2022-06-20
Living,319756,2022-06-20
Living,320173,2022-04-07
Living,320325,2021-12-09
Living,320339,2022-03-02
Living,320411,2022-06-20
Living,320502,2022-03-02
Living,320576,2021-12-09
Living,320994,2022-03-02
Living,321055,2022-03-02
Living,321074,2022-03-02
Living,321275,2021-12-09
Living,321373,2022-03-02
Living,321450,2022-06-20
Living,321477,2022-03-02
Living,321509,2022-04-07
Living,321607,2022-03-02
Living,321773,2022-03-02
Living,322142,2021-12-09
Living,322199,2021-12-09
Living,322388,2022-03-02
Living,322478,2022-06-20
Living,322566,2022-03-02
Living,322779,2022-03-02
Living,322785,2022-04-07
Living,322795,2022-03-02
Living,322860,2021-12-09
Living,322887,2022-03-02
Living,322959,2021-12-09
Living,323064,2022-03-02
Living,323079,2022-03-02
Living,323092,2022-06-20
Living,323234,2021-12-09
Living,323833,2021-12-09
Living,323921,2021-12-09
Living,323997,2021-12-09
Living,324016,2021-12-09
Living,324177,2021-12-09
Living,324184,2021-12-09
Living,324209,2021-12-09
Living,324232,2021-12-09
Living,324236,2021-12-09
Living,324271,2021-12-09
Living,324274,2021-12-09
Living,324276,2021-12-09
Living,324301,2021-12-09
Living,324331,2021-12-09
Living,324349,2021-12-09
Living,324355,2021-12-09
Living,324360,2021-12-09
Living,324372,2021-12-09
Living,324374,2021-12-09
Living,324385,2021-12-09
Living,324414,2021-12-09
Living,324418,2021-12-09
Living,324429,2021-12-09
Living,324433,2021-12-09
Living,324454,2021-12-09
Living,324463,2021-12-09
Living,324464,2021-12-09
Living,324490,2022-06-20
Living,324496,2021-12-09
Living,324502,2021-12-09
Living,324511,2021-12-09
Living,324532,2021-12-09
Living,324537,2021-12-09
Living,324549,2021-12-09
